project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,SumOfEdgeWeights,TotalNumberOfChanges,smellType,vertexId,vertexLabel
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,1245.3839536411006,92.75251210568113,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.clients.consumer, org.apache.kafka.clients]",75503;74325;75108,0.0,,0.0,0.0,0.0,4.333333333333333,1.6666666666666667,5,2.2985020741894682E-4,1,4.684709305858177,CIRCLE,3,70671,392,0.4714045207910317,0.4714045207910317,0.0,1101,0,cyclicDep,193993,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,1214.7400030111494,87.83785725372896,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.clients.consumer, org.apache.kafka.clients.consumer.internals, org.apache.kafka.clients]",74512;75503;74325;74381,0.0,,0.0,0.0,0.0,4.75,2.5,9,1.7615030918521844E-4,1,4.887429116119988,CIRCLE,4,61774,323,0.82915619758885,0.9574271077563381,0.0,1375,0,cyclicDep,194000,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,570.2856729868773,42.72037726180264,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.clients.consumer, org.apache.kafka.clients.consumer.internals]",74512;75503;74621,0.0,,0.0,0.0,0.0,5.0,3.0,5,2.0045542490756626E-4,1,5.142929060808008,CIRCLE,3,12296,69,0.816496580927726,0.816496580927726,0.0,600,0,cyclicDep,194020,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,204.0670551812169,15.89864769548887,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.consumer.internals]",75822;74512;75503;75461,0.0,,0.0,0.0,0.0,5.0,2.6666666666666665,9,2.0162375267883148E-4,1,5.621020798588028,CIRCLE,4,1318,8,0.7071067811865476,1.3743685418725535,0.0,617,0,cyclicDep,194027,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,218.81554743054403,17.002595814660225,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.scram.internals]",76096;76120;75822;74512;75503;75930,0.0,,0.0,0.0,0.0,5.5,3.2,13,1.5092174229964977E-4,1,6.011325399160127,CIRCLE,6,1325,8,0.9574271077563381,1.5577761927397231,0.0,622,0,cyclicDep,194041,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,188.70935210303134,14.575519007549044,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.errors, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.scram.internals]",75586;76096;76120;75822;74512;75503;75221,0.0,,0.0,0.0,0.0,5.428571428571429,3.0,18,1.5519722625116514E-4,1,5.153224164775673,CIRCLE,7,1341,8,0.9035079029052513,1.4474937289114918,0.0,721,0,cyclicDep,194051,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,188.00442116668847,14.575519007549044,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.scram.internals]",75300;76096;76120;75822;74512;75503;75957,0.0,,0.0,0.0,0.0,5.571428571428571,3.0952380952380953,19,1.506331473331235E-4,1,5.153224164775673,CIRCLE,7,1331,8,0.9035079029052513,1.5088551921671296,0.0,631,0,cyclicDep,194062,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,23.915692944675705,5.218832057918941,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.security.auth, org.apache.kafka.common.config, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.scram.internals]",75300;76096;76120;76038,0.0,,0.0,0.0,0.0,6.0,2.6666666666666665,6,1.1326643915229139E-4,1,5.218832057918941,CIRCLE,4,21,1,0.7071067811865476,0.7453559924999298,0.0,9,0,cyclicDep,194073,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,1723.412581422643,124.51638211757694,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.clients, org.apache.kafka.common.security.scram.internals]",76051;75300;76096;76120;75822;74512;75503;74325;74796,0.0,,0.0,0.0,0.0,5.444444444444445,2.7777777777777777,35,1.3377338260332924E-4,1,7.0606762598538975,CIRCLE,9,59578,311,0.9558139185602919,1.3766124103737631,0.0,1502,0,cyclicDep,194081,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,1509.8733814887166,108.66270531319694,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.config.internals, org.apache.kafka.clients, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",74815;76051;75300;76096;76120;75822;74512;75503;74325;74629,0.0,,0.0,0.0,0.0,5.4,2.8666666666666667,43,1.2276190715201238E-4,1,6.093501932795047,CIRCLE,10,61397,318,0.9165151389911681,1.3597385369580761,0.0,1929,0,cyclicDep,194094,smell
