,File,Frequency,lines_modified
0,KafkaETLContext.java,17,730
1,KafkaETLInputFormat.java,5,165
2,KafkaETLJob.java,5,348
3,KafkaETLKey.java,5,212
4,KafkaETLRecordReader.java,4,368
5,KafkaETLRequest.java,4,268
6,KafkaETLUtils.java,5,426
7,Props.java,5,1008
8,UndefinedPropertyException.java,3,68
9,DataGenerator.java,11,376
10,SimpleKafkaETLJob.java,3,220
11,SimpleKafkaETLMapper.java,5,200
12,TextPublisher.java,6,171
13,KafkaOutputFormat.java,14,643
14,KafkaRecordWriter.java,10,300
15,AvroKafkaStorage.java,6,271
16,ConsumerConnector.java,17,489
17,CallbackHandler.java,4,168
18,EventHandler.java,6,161
19,Consumer.java,51,973
20,ExampleUtils.java,5,80
21,KafkaConsumerProducerDemo.java,11,106
22,KafkaProperties.java,7,115
23,Producer.java,37,814
24,SimpleConsumerDemo.java,16,441
25,KafkaPerfSimulator.java,2,770
26,KafkaSimulatorMXBean.java,3,68
27,PerfTimer.java,2,298
28,SimplePerfConsumer.java,3,230
29,BrokerJmxClient.java,2,98
30,KafkaMigrationTool.java,20,2121
31,Crc32.java,14,6366
32,BufferExhaustedException.java,6,57
33,Callback.java,13,137
34,DefaultPartitioner.java,12,251
35,KafkaProducer.java,224,4843
36,MockProducer.java,50,1058
37,Partitioner.java,16,294
38,ProducerConfig.java,122,2051
39,ProducerRecord.java,19,449
40,RecordSend.java,2,176
41,BufferPool.java,27,774
42,Metadata.java,66,2096
43,ProduceRequestResult.java,11,230
44,RecordAccumulator.java,108,3756
45,RecordBatch.java,39,962
46,Sender.java,144,5341
47,ProducerPerformance.java,42,1067
48,ByteSerialization.java,2,36
49,Cluster.java,39,956
50,Configurable.java,5,41
51,Deserializer.java,14,182
52,KafkaException.java,4,50
53,Metric.java,8,86
54,Node.java,16,330
55,PartitionInfo.java,15,235
56,Serializer.java,15,258
57,StringSerialization.java,2,116
58,TopicPartition.java,9,106
59,AbstractConfig.java,59,1070
60,ConfigDef.java,73,2823
61,ConfigException.java,4,50
62,ApiException.java,5,63
63,CorruptMessageException.java,1,23
64,LeaderNotAvailableException.java,6,105
65,MessageTooLargeException.java,2,46
66,NetworkException.java,5,97
67,NotLeaderForPartitionException.java,7,102
68,OffsetMetadataTooLarge.java,6,93
69,OffsetOutOfRangeException.java,11,193
70,RetryableException.java,4,96
71,TimeoutException.java,5,96
72,UnknownServerException.java,5,95
73,UnknownTopicOrPartitionException.java,7,103
74,CompoundStat.java,6,82
75,JmxReporter.java,25,758
76,KafkaMetric.java,14,182
77,Measurable.java,7,96
78,MeasurableStat.java,5,40
79,MetricConfig.java,9,143
80,Metrics.java,41,1089
81,MetricsReporter.java,11,147
82,Quota.java,8,89
83,QuotaViolationException.java,8,105
84,Sensor.java,36,854
85,Stat.java,7,48
86,Avg.java,9,121
87,Count.java,11,214
88,Histogram.java,12,506
89,Max.java,8,120
90,Min.java,9,128
91,Percentile.java,5,74
92,Percentiles.java,16,318
93,Rate.java,18,355
94,SampledStat.java,12,322
95,Total.java,8,176
96,ByteBufferReceive.java,8,142
97,ByteBufferSend.java,17,224
98,NetworkReceive.java,14,353
99,NetworkSend.java,10,125
100,Receive.java,7,85
