,File,Frequency,lines_modified
0,KafkaETLContext.java,17,730
9,DataGenerator.java,11,376
13,KafkaOutputFormat.java,14,643
16,ConsumerConnector.java,17,489
19,Consumer.java,51,973
23,Producer.java,37,814
24,SimpleConsumerDemo.java,16,441
30,KafkaMigrationTool.java,20,2121
31,Crc32.java,14,6366
35,KafkaProducer.java,224,4843
36,MockProducer.java,50,1058
38,ProducerConfig.java,122,2051
39,ProducerRecord.java,19,449
41,BufferPool.java,27,774
42,Metadata.java,66,2096
44,RecordAccumulator.java,108,3756
45,RecordBatch.java,39,962
46,Sender.java,144,5341
47,ProducerPerformance.java,42,1067
49,Cluster.java,39,956
54,Node.java,16,330
59,AbstractConfig.java,59,1070
60,ConfigDef.java,73,2823
75,JmxReporter.java,25,758
80,Metrics.java,41,1089
84,Sensor.java,36,854
88,Histogram.java,12,506
93,Rate.java,18,355
98,NetworkReceive.java,14,353
102,Selector.java,100,3978
104,ApiKeys.java,117,1876
105,Errors.java,119,2347
106,ProtoUtils.java,14,398
107,Protocol.java,76,5772
109,Field.java,20,375
110,Schema.java,27,2759
112,Struct.java,52,1208
113,Type.java,30,1383
114,CompressionType.java,23,595
117,MemoryRecords.java,69,2972
118,Record.java,29,2054
120,RequestHeader.java,27,753
128,Utils.java,126,2655
129,SelectorTest.java,64,2250
130,BufferPoolTest.java,33,956
131,MetadataTest.java,54,2537
132,MockProducerTest.java,31,1356
133,RecordAccumulatorTest.java,76,3147
135,SenderTest.java,133,7362
136,ConfigDefTest.java,35,966
138,MetricsTest.java,45,1724
139,HistogramTest.java,11,420
140,ProtocolSerializationTest.java,22,617
141,MemoryRecordsTest.java,43,2561
144,MockTime.java,18,354
147,MockSelector.java,24,451
148,TestUtils.java,70,1530
149,RecordMetadata.java,17,355
154,MetadataRequest.java,33,779
155,MetadataResponse.java,55,2769
158,ProduceResponse.java,43,1408
162,Compressor.java,15,846
164,ConsumerConfig.java,97,1463
166,ConsumerRecord.java,17,618
167,ConsumerRecords.java,16,511
168,KafkaConsumer.java,290,10173
169,MockConsumer.java,66,1508
171,ClientUtils.java,44,769
173,ClientRequest.java,20,385
175,ClusterConnectionStates.java,35,981
177,InFlightRequests.java,18,446
178,KafkaClient.java,25,412
179,NetworkClient.java,131,3869
181,ProduceRequest.java,43,1420
182,MockClient.java,81,1663
183,NetworkClientTest.java,75,2421
187,FetchRequest.java,53,2356
188,FetchResponse.java,59,2732
189,HeartbeatRequest.java,24,426
191,JoinGroupRequest.java,36,1054
192,JoinGroupResponse.java,33,793
193,ListOffsetRequest.java,34,1367
194,ListOffsetResponse.java,30,923
195,OffsetCommitRequest.java,30,1488
196,OffsetCommitResponse.java,34,661
197,OffsetFetchRequest.java,29,1065
198,OffsetFetchResponse.java,38,1216
